Car ID,Brand,Model,Year,Color,Mileage,Price,Location,Units Available,Inventory Value,Mileage Category,Price Category
1,Toyota,Camry,2018,White,45000,18000,Los Angeles,3,54000,Medium,Medium
2,Honda,Civic,2019,Blue,35000,16000,New York,5,80000,Medium,Medium
3,Ford,Focus,2017,Silver,55000,14000,Chicago,3,42000,Medium,Low
4,Chevrolet,Cruze,2016,Red,60000,12000,Miami,1,12000,High,Low
5,Hyundai,Elantra,2018,Black,40000,15000,San Francisco,3,45000,Medium,Medium
6,Toyota,Corolla,2020,Gray,25000,19000,Dallas,1,19000,Low,Medium
7,Honda,Accord,2019,White,30000,18000,Atlanta,2,36000,Medium,Medium
8,Ford,Mustang,2015,Yellow,65000,22000,Phoenix,2,44000,High,Medium
9,Chevrolet,Impala,2017,Black,55000,16000,Houston,1,16000,Medium,Medium
10,Hyundai,Sonata,2016,Blue,50000,14000,Seattle,4,56000,Medium,Low
11,Toyota,Rav4,2017,Gray,55000,19000,Los Angeles,1,19000,Medium,Medium
12,Honda,CR-V,2020,Red,30000,23000,New York,1,23000,Medium,Medium
13,Ford,Escape,2019,White,40000,21000,Chicago,3,63000,Medium,Medium
14,Chevrolet,Equinox,2018,Black,45000,18000,Miami,4,72000,Medium,Medium
15,Hyundai,Kona,2019,Blue,35000,20000,San Francisco,2,40000,Medium,Medium
16,Toyota,Highlander,2016,Silver,60000,25000,Dallas,3,75000,High,High
17,Honda,Pilot,2017,Gray,55000,24000,Atlanta,3,72000,Medium,Medium
18,Ford,Explorer,2018,White,50000,23000,Phoenix,3,69000,Medium,Medium
19,Chevrolet,Traverse,2020,Black,35000,28000,Houston,3,84000,Medium,High
20,Hyundai,Santa Fe,2019,Red,40000,25000,Seattle,4,100000,Medium,High
21,Toyota,4Runner,2015,Silver,70000,27000,Los Angeles,2,54000,High,High
22,Honda,Odyssey,2016,White,55000,22000,New York,5,110000,Medium,Medium
23,Ford,Edge,2017,Blue,50000,21000,Chicago,5,105000,Medium,Medium
24,Chevrolet,Tahoe,2018,Black,45000,26000,Miami,5,130000,Medium,High
25,Hyundai,Palisade,2019,Silver,30000,29000,San Francisco,2,58000,Medium,High
